 	SPACE	 
PRÉFACE	PROPN	PRÉFACE
Dans	ADP	dans
quelque	DET	quelque
genre	NOUN	genre
que	PRON	que
l	PRON	l
'	PRON	'
on	PRON	on
écrive	VERB	écrire
,	PUNCT	,
on	PRON	on
doit	VERB	devoir
se	PRON	se
proposer	VERB	proposer
d	ADP	d
'	ADP	'
être	AUX	être
utile	ADJ	utile
.	PUNCT	.
On	PRON	on
doit	VERB	devoir
avoir	VERB	avoir
pour	ADP	pour
objet	NOUN	objet
de	ADP	de
contribuer	VERB	contribuer
,	PUNCT	,
au	ADP	au
moins	ADV	moins
en	ADP	en
quelque	DET	quelque
chose	NOUN	chose
,	PUNCT	,
au	ADP	au
bien	NOUN	bien
public	ADJ	public
.	PUNCT	.
Mais	CCONJ	mais
tous	ADJ	tout
les	DET	le
efforts	NOUN	effort
du	ADP	de
génie	NOUN	génie
et	CCONJ	et
de	ADP	de
l	DET	l
'	DET	'
esprit	NOUN	esprit
,	PUNCT	,
conduisent	VERB	conduire
rarement	ADV	rarement
à	ADP	à
ce	DET	ce
grand	ADJ	grand
but	NOUN	but
.	PUNCT	.
Des	DET	un
auteurs	NOUN	auteur
bien	ADV	bien
intentionnés	ADJ	intentionné
,	PUNCT	,
des	DET	un
philosophes	NOUN	philosophe
moralistes	ADJ	moraliste
ont	AUX	avoir
souvent	ADV	souvent
traité	VERB	traiter
des	DET	un
matières	NOUN	matière
importantes	ADJ	important
pour	ADP	pour
notre	DET	notre
bonheur	NOUN	bonheur
,	PUNCT	,
ont	AUX	avoir
exercé	VERB	exercer
leurs	DET	leur
talents	NOUN	talent
sur	ADP	sur
des	DET	un
sujets	NOUN	sujet
qui	PRON	qui
embrassaient	VERB	embrasser
l	DET	l
'	DET	'
humanité	NOUN	humanité
entière	ADJ	entier
,	PUNCT	,
sans	ADP	sans
produire	VERB	produire
aucun	DET	aucun
changement	NOUN	changement
sensible	ADJ	sensible
dans	ADP	dans
les	DET	le
mœurs	NOUN	mœur
.	PUNCT	.
Pourquoi	ADV	pourquoi
cela	PRON	cela
?	PUNCT	?
C	PRON	c
'	PRON	'
est	VERB	être
que	SCONJ	que
presque	ADV	presque
tous	PRON	tout
se	PRON	se
sont	AUX	être
égarés	VERB	égarer
dans	ADP	dans
les	DET	le
spéculations	NOUN	spéculation
d	ADP	d
'	ADP	'
une	DET	un
fausse	ADJ	faux
métaphysique	NOUN	métaphysique
,	PUNCT	,
et	CCONJ	et
qu	SCONJ	qu
'	SCONJ	'
aucuns	PRON	aucuns
n	ADV	n
'	ADV	'
ont	AUX	avoir
saisi	VERB	saisir
le	DET	le
véritable	ADJ	véritable
principe	NOUN	principe
des	ADP	de
règles	NOUN	règle
de	ADP	de
la	DET	le
morale	NOUN	morale
;	PUNCT	;
c	PRON	c
'	PRON	'
est	VERB	être
qu	SCONJ	qu
'	SCONJ	'
ils	PRON	il
ont	AUX	avoir
tropnégligé	VERB	tropnégliger
la	DET	le
connaissance	NOUN	connaissance
de	ADP	de
l	DET	l
'	DET	'
homme	NOUN	homme
physique	ADJ	physique
,	PUNCT	,
et	CCONJ	et
que	SCONJ	que
la	DET	le
plupart	NOUN	plupart
d	ADP	d
'	ADP	'
entre-eux	PRON	entre-eux
n	ADV	n
'	ADV	'
ont	AUX	avoir
pas	ADV	pas
vu	VERB	voir
d	ADP	d
'	ADP	'
assez	ADV	assez
près	ADV	près
les	DET	le
hommes	NOUN	homme
.	PUNCT	.
éloignés	ADJ	éloigné
du	ADP	de
grand	ADJ	grand
théatre	NOUN	théatre
où	PRON	où
l	PRON	l
'	PRON	'
on	PRON	on
apprend	VERB	apprendre
à	ADP	à
les	PRON	le
connaître	VERB	connaître
,	PUNCT	,
par	ADP	par
ce	DET	ce
goût	NOUN	goût
de	ADP	de
la	DET	le
retraite	NOUN	retraite
si	ADV	si
naturel	ADJ	naturel
à	ADP	à
tous	ADJ	tout
les	DET	le
sages	NOUN	sage
,	PUNCT	,
ils	PRON	il
n	ADV	n
'	ADV	'
ont	AUX	avoir
pu	VERB	pouvoir
observer	VERB	observer
l	DET	l
'	DET	'
influence	NOUN	influence
de	ADP	de
l	DET	l
'	DET	'
esprit	NOUN	esprit
de	ADP	de
société	NOUN	société
sur	ADP	sur
le	DET	le
cœur	NOUN	cœur
humain	ADJ	humain
;	PUNCT	;
l	DET	l
'	DET	'
influence	NOUN	influence
qu	PRON	que
'	PRON	'
il	PRON	il
reçoit	VERB	recevoir
des	ADP	de
usages	NOUN	usage
,	PUNCT	,
du	ADP	de
progrès	NOUN	progrès
des	ADP	de
lumières	NOUN	lumière
et	CCONJ	et
des	ADP	de
vices	NOUN	vice
,	PUNCT	,
ni	CCONJ	ni
par	ADP	par
conséquent	NOUN	conséquent
acquérir	VERB	acquérir
la	DET	le
science	NOUN	science
nécessaire	ADJ	nécessaire
pour	ADP	pour
combattre	VERB	combattre
avec	ADP	avec
fruit	NOUN	fruit
ses	DET	son
habitudes	NOUN	habitude
dépravées	ADJ	dépravé
.	PUNCT	.
Avant	ADP	avant
d	ADP	d
'	ADP	'
écrire	VERB	écrire
,	PUNCT	,
même	ADV	même
des	DET	un
ouvrages	NOUN	ouvrage
d	ADP	d
'	ADP	'
imagination	NOUN	imagination
qui	PRON	qui
doivent	VERB	devoir
offrir	VERB	offrir
un	DET	un
but	NOUN	but
d	ADP	d
'	ADP	'
utilité	NOUN	utilité
