 	SPACE	 
LETTRE	NOUN	lettre
1	NUM	1
Au	ADP	au
Comte	NOUN	comte
De	ADP	de
P.	NOUN	p.
Vous	PRON	vous
voilà	VERB	voilà
donc	ADV	donc
fixé	VERB	fixer
dans	ADP	dans
vos	DET	votre
terres	NOUN	terre
,	PUNCT	,
mon	DET	mon
cher	ADJ	cher
comte	NOUN	comte
;	PUNCT	;
vous	PRON	vous
renoncez	VERB	renoncer
pour	ADP	pour
toujours	ADV	toujours
à	ADP	à
cette	DET	ce
ville	NOUN	ville
fameuse	ADJ	fameux
où	PRON	où
tout	PRON	tout
semblait	VERB	sembler
vous	PRON	vous
attacher	VERB	attacher
autrefois	ADV	autrefois
,	PUNCT	,
et	CCONJ	et
à	ADP	à
ses	DET	son
arts	NOUN	art
que	PRON	que
vous	PRON	vous
aimiez	VERB	aimer
,	PUNCT	,
et	CCONJ	et
à	ADP	à
sa	DET	son
philosophie	NOUN	philosophie
dont	PRON	dont
vous	PRON	vous
suiviez	VERB	suivre
bravement	ADV	bravement
les	DET	le
drapeaux	NOUN	drapeau
,	PUNCT	,
à	ADP	à
latête	NOUN	latête
de	ADP	de
ses	DET	son
plus	ADV	plus
zélés	ADJ	zélé
disciples	NOUN	disciple
.	PUNCT	.
Ce	DET	ce
vaste	ADJ	vaste
foyer	NOUN	foyer
de	ADP	de
lumières	NOUN	lumière
d	ADP	d
'	ADP	'
où	PRON	où
se	PRON	se
réfléchissent	VERB	réfléchir
tous	ADJ	tout
les	DET	le
rayons	NOUN	rayon
de	ADP	de
la	DET	le
science	NOUN	science
universelle	ADJ	universel
,	PUNCT	,
et	CCONJ	et
dont	PRON	dont
vous	PRON	vous
cherchiez	VERB	chercher
à	ADP	à
faire	VERB	faire
votre	DET	votre
profit	NOUN	profit
comme	ADP	comme
tant	ADV	tant
d	ADP	d
'	ADP	'
autres	NOUN	autre
,	PUNCT	,
n	ADV	n
'	ADV	'
a	AUX	avoir
fait	VERB	faire
,	PUNCT	,
dites	VERB	dire
-vous	PRON	vous
,	PUNCT	,
qu	ADV	qu
'	PUNCT	'
éblouir	VERB	éblouir
votre	DET	votre
vue	NOUN	vue
,	PUNCT	,
et	CCONJ	et
ne	ADV	ne
vous	PRON	vous
a	AUX	avoir
point	ADV	point
éclairé	VERB	éclairer
.	PUNCT	.
Vous	PRON	vous
avez	AUX	avoir
senti	VERB	sentir
que	SCONJ	que
suivre	VERB	suivre
le	DET	le
torrent	NOUN	torrent
des	ADP	de
opinions	NOUN	opinion
régnantes	ADJ	régnant
,	PUNCT	,
c	PRON	c
'	PRON	'
était	AUX	être
s	PRON	s
'	PRON	'
égarer	VERB	égarer
dans	ADP	dans
le	DET	le
vague	NOUN	vague
des	ADP	de
systèmes	NOUN	système
.	PUNCT	.
Cet	DET	ce
esprit	NOUN	esprit
philosophique	ADJ	philosophique
qui	PRON	qui
voit	VERB	voir
toujours	ADV	toujours
dans	ADP	dans
les	DET	le
objets	NOUN	objet
des	ADP	de
propriétés	NOUN	propriété
,	PUNCT	,
des	DET	un
analogies	NOUN	analogie
,	PUNCT	,
un	DET	un
nouvel	ADJ	nouveau
ordre	NOUN	ordre
de	ADP	de
choses	NOUN	chose
,	PUNCT	,
quand	SCONJ	quand
il	PRON	il
ne	ADV	ne
fait	VERB	faire
que	ADV	que
tâtonner	VERB	tâtonner
dans	ADP	dans
la	DET	le
nuit	NOUN	nuit
des	ADP	de
conjectures	NOUN	conjecture
,	PUNCT	,
vous	PRON	vous
l	PRON	l
'	PRON	'
appréciez	VERB	apprécier
maintenant	ADV	maintenant
à	ADP	à
sa	DET	son
